DOT_NUMBER|LEGAL_NAME|DBA_NAME|CARRIER_OPERATION|HM_Ind|PHY_STREET|PHY_CITY|PHY_STATE|PHY_ZIP|PHY_COUNTRY|PHONE|EMAIL_ADDRESS|POWER_UNITS|TOTAL_DRIVERS|TOTAL_CDL|FLEETSIZE|SAFETY_RATING|SAFETY_RATING_DATE|REVIEW_TYPE|REVIEW_DATE|MCS150_DATE|ADD_DATE|STATUS_CODE|RECORDABLE_CRASH_RATE|CRGO_GENFREIGHT|CRGO_HOUSEHOLD|CRGO_LIQGAS|CRGO_INTERMODAL|CRGO_CHEM|CRGO_DRYBULK|CRGO_COLDFOOD|CRGO_PRODUCE|CRGO_LIVESTOCK|CRGO_CARGOOTHR|CRGO_CARGOOTHR_DESC
2867825|SAMPLE CARRIER 1 LLC|CARRIER 1|C|Y|5788 INDUSTRIAL BLVD|Dallas|TX|79827|US|(638)877-7071|dispatch@carrier1.com|10|89|3|Medium|Satisfactory|08/04/2022|CS|06/21/2022|08/23/2023|03/14/2018|A|0.79|N|N|N|N|N|N|Y|Y|N|N|
1419610|SAMPLE CARRIER 2 LLC||B|N|5611 INDUSTRIAL BLVD|Jacksonville|FL|13761|US|(706)532-3979|dispatch@carrier2.com|64|56|47|Medium|Conditional|06/09/2022||12/09/2022|09/01/2023|09/07/2018|A|0.39|N|N|Y|N|N|N|Y|Y|N|Y|
5614226|SAMPLE CARRIER 3 LLC||C|Y|5116 INDUSTRIAL BLVD|Atlanta|GA|97026|US|(795)577-8753|dispatch@carrier3.com|72|90|56|Large|||||09/11/2023|06/23/2018|A|2.04|N|N|Y|Y|Y|N|Y|Y|Y|Y|
5108603|SAMPLE CARRIER 4 LLC|CARRIER 4|B|N|1747 INDUSTRIAL BLVD|Nashville|TN|35443|US|(503)432-6912|dispatch@carrier4.com|24|79|3|Large|||||09/05/2023|05/02/2018|A|4.38|N|Y|N|Y|Y|N|N|N|N|N|
4744854|SAMPLE CARRIER 5 LLC||A|N|7927 INDUSTRIAL BLVD|Columbus|OH|24953|US|(266)610-9056|dispatch@carrier5.com|11|15|21|Small|Conditional|10/10/2022|CR|04/04/2022|09/25/2023|07/20/2018|A|2.68|Y|N|N|N|N|N|N|Y|Y|Y|
3341057|SAMPLE CARRIER 6 LLC||B|Y|2673 INDUSTRIAL BLVD|Chicago|IL|41439|US|(377)765-2229|dispatch@carrier6.com|22|2|54|Medium|Conditional|12/20/2022|CS|05/02/2022|04/10/2023|12/10/2018|A|3.16|N|Y|Y|N|Y|N|Y|Y|Y|N|
2719583|SAMPLE CARRIER 7 LLC|CARRIER 7|A|Y|2818 INDUSTRIAL BLVD|Charlotte|NC|50319|US|(809)966-5728|dispatch@carrier7.com|58|33|61|Large|Conditional|05/23/2022|CS|05/17/2022|09/16/2023|08/03/2018|A|2.69|N|N|N|Y|Y|Y|Y|N|Y|Y|
2458591|SAMPLE CARRIER 8 LLC||C|N|4657 INDUSTRIAL BLVD|Houston|TX|33788|US|(799)646-9056|dispatch@carrier8.com|13|122|46|Medium|||||06/11/2023|11/04/2018|A|3.86|N|N|N|N|N|Y|N|Y|N|N|
8078673|SAMPLE CARRIER 9 LLC||A|N|8531 INDUSTRIAL BLVD|Miami|FL|10150|US|(873)755-8569|dispatch@carrier9.com|54|15|26|Large|Unsatisfactory|06/20/2022|CS|11/15/2022|01/07/2023|05/18/2018|A|0.59|N|N|N|Y|Y|Y|Y|N|Y|N|
1533224|SAMPLE CARRIER 10 LLC|CARRIER 10|A|Y|7660 INDUSTRIAL BLVD|Richmond|VA|25396|US|(863)357-9165|dispatch@carrier10.com|93|76|67|Large|Satisfactory|05/14/2022|CS|08/08/2022|08/18/2023|03/13/2018|A|0.86|Y|Y|N|N|N|N|Y|N|N|N|
1499914|SAMPLE CARRIER 11 LLC||B|N|5754 INDUSTRIAL BLVD|Los Angeles|CA|53573|US|(765)981-9903|dispatch@carrier11.com|50|118|43|Small|Conditional|12/08/2022||07/08/2022|07/02/2023|06/24/2018|A|2.13|N|N|Y|N|Y|Y|N|Y|N|Y|
2571945|SAMPLE CARRIER 12 LLC||A|Y|6817 INDUSTRIAL BLVD|Pittsburgh|PA|95823|US|(358)276-8692|dispatch@carrier12.com|102|69|45|Large|||||12/13/2023|11/03/2018|A|3.83|N|N|N|Y|Y|Y|N|Y|Y|N|
4668136|SAMPLE CARRIER 13 LLC|CARRIER 13|C|Y|7369 INDUSTRIAL BLVD|Memphis|TN|31805|US|(910)506-1474|dispatch@carrier13.com|7|85|9|Medium|Satisfactory|06/12/2022|CS|03/08/2022|09/14/2023|10/22/2018|A|3.57|Y|Y|Y|N|Y|N|Y|Y|N|N|
4903402|SAMPLE CARRIER 14 LLC||B|Y|7722 INDUSTRIAL BLVD|Austin|TX|47700|US|(893)759-3588|dispatch@carrier14.com|11|115|46|Large|||||05/21/2023|07/23/2018|A|1.13|N|Y|N|N|Y|Y|N|N|N|N|
9478454|SAMPLE CARRIER 15 LLC||C|N|4597 INDUSTRIAL BLVD|Orlando|FL|11061|US|(779)902-1803|dispatch@carrier15.com|118|129|38|Small|Satisfactory|10/26/2022|CS|04/21/2022|04/20/2023|05/22/2018|A|3.4|Y|Y|Y|N|N|Y|N|Y|Y|N|
