DOT_NUMBER|CRASH_ID|REPORT_STATE|REPORT_NUMBER|REPORT_DATE|STATE|FATALITIES|INJURIES|TOW_AWAY|VEHICLES_IN_ACCIDENT|HAZMAT_RELEASED|VEHICLE_HAZMAT_PLACARD|TRUCK_BUS_IND|CARGO_BODY_TYPE_ID|FEDERAL_RECORDABLE|STATE_RECORDABLE|WEATHER_CONDITION_ID|ROAD_SURFACE_CONDITION_ID|LIGHT_CONDITION_ID|VEHICLE_CONFIGURATION_ID|CRASH_CARRIER_NAME|CRASH_CARRIER_STATE
1533224|CR100000|TX|RPT200000|09/07/2023|NC|1|0|1|3|Y|Y|T|7|N|N|2|2|2|1|CARRIER 1 TRUCKING LLC|FL
2719583|CR100001|FL|RPT200001|06/28/2023|IL|2|1|0|4|Y|N|T|2|N|N|5|2|3|1|CARRIER 2 TRUCKING LLC|TX
1499914|CR100002|GA|RPT200002|05/03/2023|GA|0|2|1|4|N|Y|T|6|N|Y|3|1|3|6|CARRIER 3 TRUCKING LLC|CA
8078673|CR100003|GA|RPT200003|03/15/2023|PA|0|3|0|3|Y|Y|T|1|N|N|3|1|1|5|CARRIER 4 TRUCKING LLC|IL
5108603|CR100004|TN|RPT200004|07/21/2023|TN|0|1|0|2|N|N|T|10|N|N|2|2|3|4|CARRIER 5 TRUCKING LLC|FL
4668136|CR100005|TX|RPT200005|02/05/2023|CA|1|3|0|4|N|N|T|9|N|Y|1|3|3|3|CARRIER 6 TRUCKING LLC|FL
4744854|CR100006|PA|RPT200006|03/15/2023|TX|0|3|0|1|N|Y|T|3|N|Y|5|1|3|3|CARRIER 7 TRUCKING LLC|TN
2867825|CR100007|FL|RPT200007|06/27/2023|OH|0|0|0|1|Y|N|T|2|Y|Y|4|2|2|5|CARRIER 8 TRUCKING LLC|VA
2719583|CR100008|GA|RPT200008|09/25/2023|GA|0|2|1|4|N|Y|T|4|Y|Y|3|1|3|5|CARRIER 9 TRUCKING LLC|GA
1533224|CR100009|GA|RPT200009|01/03/2023|TX|0|0|0|3|Y|Y|T|5|N|Y|5|2|3|5|CARRIER 10 TRUCKING LLC|VA
2458591|CR100010|GA|RPT200010|08/26/2023|PA|0|0|0|4|N|N|T|7|N|Y|1|1|2|6|CARRIER 11 TRUCKING LLC|IL
4668136|CR100011|FL|RPT200011|04/07/2023|GA|2|2|0|4|N|N|T|8|Y|Y|4|1|1|6|CARRIER 12 TRUCKING LLC|NC
4903402|CR100012|TX|RPT200012|02/25/2023|GA|0|2|1|4|N|N|T|1|Y|N|1|4|2|4|CARRIER 13 TRUCKING LLC|OH
2719583|CR100013|NC|RPT200013|11/23/2023|TN|0|0|1|2|Y|Y|T|6|Y|Y|5|4|3|5|CARRIER 14 TRUCKING LLC|CA
2867825|CR100014|NC|RPT200014|02/28/2023|CA|0|3|0|2|N|Y|T|10|Y|Y|5|1|2|6|CARRIER 15 TRUCKING LLC|VA
1533224|CR100015|NC|RPT200015|06/09/2023|GA|0|0|1|4|N|N|T|8|N|Y|1|4|3|5|CARRIER 16 TRUCKING LLC|FL
1419610|CR100016|NC|RPT200016|04/17/2023|OH|0|1|0|2|N|N|T|3|N|N|5|1|3|5|CARRIER 17 TRUCKING LLC|OH
9478454|CR100017|FL|RPT200017|03/09/2023|FL|0|3|0|3|N|Y|T|6|Y|N|5|4|2|1|CARRIER 18 TRUCKING LLC|FL
1499914|CR100018|PA|RPT200018|05/02/2023|TX|0|0|1|2|N|N|T|9|Y|Y|1|2|3|1|CARRIER 19 TRUCKING LLC|IL
1533224|CR100019|NC|RPT200019|03/14/2023|CA|0|1|1|1|N|Y|T|4|Y|N|5|4|3|6|CARRIER 20 TRUCKING LLC|CA
9478454|CR100020|GA|RPT200020|03/26/2023|CA|1|0|0|3|N|Y|T|5|Y|Y|4|1|2|2|CARRIER 21 TRUCKING LLC|GA
4903402|CR100021|TN|RPT200021|06/10/2023|GA|0|0|0|4|N|N|T|2|N|N|5|4|3|5|CARRIER 22 TRUCKING LLC|IL
2867825|CR100022|FL|RPT200022|05/06/2023|VA|0|0|0|4|N|N|T|7|Y|N|5|2|2|1|CARRIER 23 TRUCKING LLC|PA
2867825|CR100023|NC|RPT200023|09/22/2023|GA|0|2|0|3|N|Y|T|5|N|N|3|4|3|3|CARRIER 24 TRUCKING LLC|NC
5614226|CR100024|GA|RPT200024|07/22/2023|PA|0|3|1|4|Y|N|T|5|Y|N|5|3|2|4|CARRIER 25 TRUCKING LLC|TN
1499914|CR100025|GA|RPT200025|09/16/2023|CA|0|1|1|1|N|N|T|4|Y|Y|1|1|1|4|CARRIER 26 TRUCKING LLC|VA
4903402|CR100026|FL|RPT200026|08/14/2023|VA|0|2|1|4|N|Y|T|1|Y|N|2|2|3|5|CARRIER 27 TRUCKING LLC|TN
2867825|CR100027|NC|RPT200027|04/28/2023|FL|1|0|1|3|N|N|T|9|N|Y|4|4|2|2|CARRIER 28 TRUCKING LLC|OH
4668136|CR100028|NC|RPT200028|08/21/2023|GA|0|2|0|3|N|N|T|6|N|Y|2|2|1|4|CARRIER 29 TRUCKING LLC|CA
2571945|CR100029|GA|RPT200029|02/14/2023|PA|0|3|1|4|Y|Y|T|7|N|Y|5|4|2|1|CARRIER 30 TRUCKING LLC|IL
