CHANGE_DATE|INSPECTION_ID|DOT_NUMBER
05/25/2023|INS300000|2719583
07/18/2023|INS300001|2571945
12/18/2023|INS300002|4668136
10/08/2023|INS300003|2458591
04/09/2023|INS300004|2719583
08/01/2023|INS300005|2719583
06/22/2023|INS300006|1499914
07/24/2023|INS300007|5614226
08/05/2023|INS300008|1533224
09/01/2023|INS300009|9478454
07/19/2023|INS300010|1533224
11/01/2023|INS300011|1419610
11/14/2023|INS300012|5614226
08/06/2023|INS300013|2867825
05/13/2023|INS300014|3341057
04/15/2023|INS300015|3341057
06/25/2023|INS300016|9478454
07/09/2023|INS300017|4668136
07/09/2023|INS300018|4903402
02/16/2023|INS300019|2867825
12/18/2023|INS300020|2867825
06/08/2023|INS300021|1499914
02/25/2023|INS300022|1499914
01/25/2023|INS300023|2867825
04/07/2023|INS300024|4903402
01/20/2023|INS300025|5614226
04/05/2023|INS300026|2458591
11/04/2023|INS300027|1533224
04/15/2023|INS300028|2571945
05/25/2023|INS300029|3341057
03/20/2023|INS300030|1533224
12/23/2023|INS300031|1419610
03/10/2023|INS300032|1419610
10/01/2023|INS300033|9478454
05/19/2023|INS300034|1499914
07/13/2023|INS300035|2571945
04/03/2023|INS300036|1533224
12/27/2023|INS300037|1499914
04/04/2023|INS300038|2571945
05/28/2023|INS300039|1499914
